WP, 12, 2024090112,   , BEST,   0, 135N, 1247E,  30,  999, XX,  34, NEQ,    0,    0,    0,    0, 1007,  210,  40,   0,   0,   W,   0,   X, 305,  12,     TWELVE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP122024, JTWC, NCEP_TCVITALS, 
WP, 12, 2024090118,   , BEST,   0, 146N, 1232E,  35,  996, XX,  34, NEQ,   50,   45,   45,   45, 1005,  150,  25,   0,   0,   W,   0,   X, 310,  14,       YAGI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP122024, JTWC, NCEP_TCVITALS, 
WP, 12, 2024090200,   , BEST,   0, 152N, 1226E,  40,  995, XX,  34, NEQ,   60,   50,   50,   50, 1006,  120,  25,   0,   0,   W,   0,   X, 310,  13,       YAGI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP122024, JTWC, NCEP_TCVITALS, 
WP, 12, 2024090206,   , BEST,   0, 164N, 1223E,  45,  996, XX,  34, NEQ,   50,   60,   60,   30, 1006,  120,  20,   0,   0,   W,   0,   X, 320,  11,       YAGI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP122024, JTWC, NCEP_TCVITALS, 
WP, 12, 2024090212,   , BEST,   0, 172N, 1220E,  40,  996, XX,  34, NEQ,   50,   60,   60,   30, 1006,  120,  20,   0,   0,   W,   0,   X, 340,   9,       YAGI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP122024, JTWC, NCEP_TCVITALS, 
WP, 12, 2024090218,   , BEST,   0, 179N, 1209E,  35, 1000, XX,  34, NEQ,   80,   35,   90,   60, 1006,  195,  20,   0,   0,   W,   0,   X, 330,  10,       YAGI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP122024, JTWC, NCEP_TCVITALS, 
WP, 12, 2024090300,   , BEST,   0, 183N, 1195E,  40,  999, XX,  34, NEQ,   80,   65,  100,   75, 1006,  195,  20,   0,   0,   W,   0,   X, 305,  11,       YAGI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP122024, JTWC, NCEP_TCVITALS, 
WP, 12, 2024090306,   , BEST,   0, 185N, 1191E,  40,  998, XX,  34, NEQ,   60,   75,   85,   80, 1004,  220,  20,   0,   0,   W,   0,   X, 290,   9,       YAGI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP122024, JTWC, NCEP_TCVITALS, 
WP, 12, 2024090312,   , BEST,   0, 188N, 1190E,  50,  993, XX,  34, NEQ,   60,   75,   85,   80, 1004,  220,  25,   0,   0,   W,   0,   X, 290,   5,       YAGI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP122024, JTWC, NCEP_TCVITALS, 
WP, 12, 2024090318,   , BEST,   0, 188N, 1183E,  55,  987, XX,  34, NEQ,   75,   85,   85,   85, 1003,  200,  30,   0,   0,   W,   0,   X, 290,   4,       YAGI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP122024, JTWC, NCEP_TCVITALS, 
WP, 12, 2024090400,   , BEST,   0, 191N, 1177E,  70,  977, XX,  34, NEQ,   85,   90,   95,   90, 1003,  200,  25,   0,   0,   W,   0,   X, 295,   5,       YAGI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP122024, JTWC, NCEP_TCVITALS, 
WP, 12, 2024090406,   , BEST,   0, 192N, 1174E,  80,  977, XX,  34, NEQ,   80,   90,   95,   85, 1001,  200,  17,   0,   0,   W,   0,   X, 290,   5,       YAGI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP122024, JTWC, NCEP_TCVITALS, 
WP, 12, 2024090412,   , BEST,   0, 192N, 1169E, 110,  968, XX,  34, NEQ,   80,  105,  120,   85, 1000,  170,  12,   0,   0,   W,   0,   X, 280,   5,       YAGI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP122024, JTWC, NCEP_TCVITALS, 
WP, 12, 2024090418,   , BEST,   0, 192N, 1163E, 120,  932, XX,  34, NEQ,  130,  100,  130,  140, 1000,  270,  12,   0,   0,   W,   0,   X, 275,   4,       YAGI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP122024, JTWC, NCEP_TCVITALS, 
WP, 12, 2024090500,   , BEST,   0, 191N, 1158E, 130,  922, XX,  34, NEQ,  130,  100,  130,  140, 1000,  220,  12,   0,   0,   W,   0,   X, 270,   5,       YAGI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP122024, JTWC, NCEP_TCVITALS, 
WP, 12, 2024090506,   , BEST,   0, 192N, 1151E, 125,  928, XX,  34, NEQ,  160,  130,  115,  140, 1001,  230,  12,   0,   0,   W,   0,   X, 270,   6,       YAGI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP122024, JTWC, NCEP_TCVITALS, 
WP, 12, 2024090512,   , BEST,   0, 193N, 1141E, 125,  929, XX,  34, NEQ,  160,  130,  115,  140, 1001,  230,  15,   0,   0,   W,   0,   X, 275,   7,       YAGI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP122024, JTWC, NCEP_TCVITALS, 
WP, 12, 2024090518,   , BEST,   0, 192N, 1130E, 120,  934, XX,  34, NEQ,  180,  130,  115,  160, 1000,  250,  12,   0,   0,   W,   0,   X, 275,   9,       YAGI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP122024, JTWC, NCEP_TCVITALS, 
WP, 12, 2024090600,   , BEST,   0, 192N, 1122E, 130,  922, XX,  34, NEQ,  180,  130,  115,  160,  999,  240,  12,   0,   0,   W,   0,   X, 270,   9,       YAGI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP122024, JTWC, NCEP_TCVITALS, 
WP, 12, 2024090606,   , BEST,   0, 197N, 1113E, 125,  927, XX,  34, NEQ,  180,  130,  115,  160, 1000,  240,  12,   0,   0,   W,   0,   X, 280,   9,       YAGI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP122024, JTWC, NCEP_TCVITALS, 
WP, 12, 2024090612,   , BEST,   0, 200N, 1102E, 120,  928, XX,  34, NEQ,  160,  160,  125,  145, 1000,  240,  15,   0,   0,   W,   0,   X, 285,   9,       YAGI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP122024, JTWC, NCEP_TCVITALS, 
WP, 12, 2024090618,   , BEST,   0, 203N, 1090E, 105,  937, XX,  34, NEQ,  140,  140,  135,  155, 1002,  250,  15,   0,   0,   W,   0,   X, 290,  11,       YAGI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP122024, JTWC, NCEP_TCVITALS, 
WP, 12, 2024090700,   , BEST,   0, 203N, 1082E, 115,  933, XX,  34, NEQ,  130,  120,  125,  125, 1002,  250,  15,   0,   0,   W,   0,   X, 280,  10,       YAGI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP122024, JTWC, NCEP_TCVITALS, 
WP, 12, 2024090706,   , BEST,   0, 210N, 1069E, 110,  942, XX,  34, NEQ,  150,  145,  155,  135, 1002,  260,  15,   0,   0,   W,   0,   X, 290,  11,       YAGI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP122024, JTWC, NCEP_TCVITALS, 
WP, 12, 2024090712,   , BEST,   0, 210N, 1059E,  75,  970, XX,  34, NEQ,  120,  125,  135,   75, 1002,  260,  25,   0,   0,   W,   0,   X, 285,  10,       YAGI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP122024, JTWC, NCEP_TCVITALS, 
WP, 12, 2024090718,   , BEST,   0, 212N, 1051E,  60,  986, XX,  34, NEQ,   50,  125,   45,   50, 1003,  155,  25,   0,   0,   W,   0,   X, 290,  10,       YAGI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP122024, JTWC, NCEP_TCVITALS, 
