time,lat,lon,Vmax,Pmin,RMW
2024-09-02_00:00:00,15.003021,122.937477,14.932899,995.881953,111.580195
2024-09-02_03:00:00,15.328026,122.516556,25.787630,992.527109,32.569213
2024-09-02_06:00:00,15.895584,122.432373,28.535616,990.256875,37.127544
2024-09-02_09:00:00,16.461533,122.348190,29.822329,992.392420,35.908812
2024-09-02_12:00:00,17.427872,122.264000,24.164631,997.562574,72.115063
2024-09-02_15:00:00,18.309227,121.843079,20.127104,999.891252,107.651229
2024-09-02_18:00:00,18.628624,121.001236,20.752340,995.338315,26.611632
2024-09-02_21:00:00,18.548820,120.243576,20.087822,992.323047,51.686991
2024-09-03_00:00:00,18.628624,119.906837,20.567461,991.927891,26.611632
2024-09-03_03:00:00,18.469002,119.570099,21.642056,989.407187,44.445055
2024-09-03_06:00:00,18.628624,119.317543,24.056833,986.511016,54.032718
2024-09-03_09:00:00,18.628624,118.896622,24.220085,985.298203,50.226055
2024-09-03_12:00:00,18.548820,118.896622,30.181730,982.583672,39.706742
2024-09-03_15:00:00,18.628624,118.728256,30.040155,980.370781,44.383122
2024-09-03_18:00:00,18.708366,118.559883,37.190407,975.702734,45.219624
2024-09-03_21:00:00,19.027016,118.559883,32.295624,973.504766,51.637350
2024-09-04_00:00:00,19.027016,118.559883,38.405270,971.896875,25.018490
2024-09-04_03:00:00,19.186111,118.391518,33.036530,969.767344,25.017923
2024-09-04_06:00:00,19.265602,118.223145,32.781918,967.100703,19.755074
2024-09-04_09:00:00,19.345055,118.054779,33.648361,963.520937,44.204806
2024-09-04_12:00:00,19.345055,118.054779,33.554302,962.616719,39.480259
2024-09-04_15:00:00,19.424469,117.718040,34.103321,958.431641,24.957551
2024-09-04_18:00:00,19.424469,117.549667,35.114929,952.754844,36.408079
2024-09-04_21:00:00,19.662476,117.465485,36.196911,947.264141,17.620229
2024-09-05_00:00:00,19.741722,117.381302,38.063705,945.682656,53.513252
2024-09-05_03:00:00,20.137413,117.297119,41.606903,944.005469,36.199925
2024-09-05_06:00:00,20.137413,116.792007,44.027798,939.560000,53.377377
2024-09-05_09:00:00,20.137413,116.455269,43.310417,940.766406,44.870280
2024-09-05_12:00:00,20.453247,116.202713,45.482597,941.621406,35.047034
2024-09-05_15:00:00,20.532104,115.950165,46.749012,938.859844,55.414178
2024-09-05_18:00:00,20.925774,115.445053,44.053757,935.888906,36.040933
2024-09-05_21:00:00,21.161484,115.024132,46.845455,934.616641,50.968986
2024-09-06_00:00:00,21.396820,114.266472,48.314125,936.910625,62.782068
2024-09-06_03:00:00,21.553505,113.424629,48.667152,937.834687,58.356110
2024-09-06_06:00:00,21.710014,112.919518,48.442871,942.424697,50.753151
2024-09-06_09:00:00,21.788208,112.161858,39.953793,947.680427,43.508605
2024-09-06_12:00:00,21.631783,111.825119,33.731186,963.045492,46.885089
2024-09-06_15:00:00,21.475182,111.067459,28.686893,972.774066,36.986857
2024-09-06_18:00:00,28.192863,139.437653,38.083279,971.651719,58.317310
2024-09-06_21:00:00,28.563202,139.353455,39.842747,971.739219,52.717321
2024-09-07_00:00:00,28.784782,139.269272,39.553745,971.611641,44.102953
