time,lat,lon
2024-09-02_00:00:00,15.003021,122.937477
2024-09-02_03:00:00,15.328026,122.516556
2024-09-02_06:00:00,15.733582,122.600739
2024-09-02_09:00:00,16.542252,122.600739
2024-09-02_12:00:00,17.186760,122.432373
2024-09-02_15:00:00,18.309227,121.843079
2024-09-02_18:00:00,18.548820,121.590530
2024-09-02_21:00:00,19.424469,120.917053
2024-09-03_00:00:00,18.229286,119.991020
2024-09-03_03:00:00,18.389130,118.980804
2024-09-03_06:00:00,18.389130,119.064987
2024-09-03_09:00:00,18.548820,118.728256
2024-09-03_12:00:00,18.548820,118.644066
2024-09-03_15:00:00,18.548820,118.391518
2024-09-03_18:00:00,18.708366,118.223145
2024-09-03_21:00:00,18.548820,118.138962
2024-09-04_00:00:00,18.548820,118.559883
2024-09-04_03:00:00,18.867775,118.644066
2024-09-04_06:00:00,19.106583,118.559883
2024-09-04_09:00:00,19.186111,118.307327
2024-09-04_12:00:00,19.106583,118.138962
2024-09-04_15:00:00,19.345055,117.886406
2024-09-04_18:00:00,19.345055,117.718040
2024-09-04_21:00:00,19.265602,117.633858
2024-09-05_00:00:00,19.345055,117.633858
2024-09-05_03:00:00,19.503838,117.549667
2024-09-05_06:00:00,19.741722,117.381302
2024-09-05_09:00:00,19.900124,117.212929
2024-09-05_12:00:00,19.979256,116.792007
2024-09-05_15:00:00,20.058357,116.371086
2024-09-05_18:00:00,20.216431,115.950165
2024-09-05_21:00:00,20.295410,115.697609
2024-09-06_00:00:00,20.532104,115.360870
2024-09-06_03:00:00,20.610916,114.939949
2024-09-06_06:00:00,20.925774,114.519028
2024-09-06_09:00:00,21.161484,114.098106
2024-09-06_12:00:00,21.318420,113.592995
2024-09-06_15:00:00,21.553505,113.172073
2024-09-06_18:00:00,21.710014,112.582779
2024-09-06_21:00:00,21.788208,112.077675
2024-09-07_00:00:00,21.866356,111.825119
